industry,stock_count,total_mean_daily_market_cap_weight,mean_daily_market_cap_weight,total_mean_market_cap,average_market_cap,share_of_universe_stocks
M23G 半導體,7,0.6280939035,0.08972770049,3.920886808e+13,5.601266868e+12,0.14
M28L 金融控股,12,0.11332728,0.009443939999,6.891979267e+12,5.743316056e+11,0.24
M23A 電腦及週邊,7,0.09406373359,0.01343767623,5.751598877e+12,8.216569824e+11,0.14
M23D 電子零組件,3,0.0431160421,0.01437201403,2.777045539e+12,9.256818464e+11,0.06
M23K 通信網路,4,0.03804427882,0.009511069704,2.304931724e+12,5.762329311e+11,0.08
M26A 海運,3,0.0148999676,0.004966655868,8.814255062e+11,2.938085021e+11,0.06
M13A 石化,2,0.01005227174,0.005026135872,6.301034362e+11,3.150517181e+11,0.04
M12C 飲料乳品,1,0.007386024169,0.007386024169,4.399516543e+11,4.399516543e+11,0.02
M28A 本國銀行,2,0.007255213216,0.003627606608,4.346800206e+11,2.173400103e+11,0.04
M23B 印刷電路板,1,0.007220579988,0.007220579988,4.671446872e+11,4.671446872e+11,0.02
M13C 輕油裂解,1,0.006847441852,0.006847441852,4.208318066e+11,4.208318066e+11,0.02
M22X 汽車買賣,1,0.005341916205,0.005341916205,3.17710214e+11,3.17710214e+11,0.02
M20A 基本金屬,1,0.005137346411,0.005137346411,3.065448848e+11,3.065448848e+11,0.02
M23U 消費性電子,1,0.005102295708,0.005102295708,3.06455037e+11,3.06455037e+11,0.02
M29A 百貨批發,1,0.004267110575,0.004267110575,2.526945021e+11,2.526945021e+11,0.02
M26D 空運,1,0.003450533607,0.003450533607,2.050535144e+11,2.050535144e+11,0.02
M28K 租賃,1,0.003216086075,0.003216086075,1.90989321e+11,1.90989321e+11,0.02
M11A 水泥製造,1,0.003177974898,0.003177974898,1.8792e+11,1.8792e+11,0.02
