industry,industry_code,industry_chinese_label,stock_count,total_news_count,pooled_sector_raw_hype,pooled_sector_market_cap_weight,pooled_sector_market_cap_adjusted_hype,pooled_sector_attention_size_imbalance,nonzero_week_count
M23G 半導體,M23G,半導體,7,4632,0.651751794,0.5985771374,1.088835095,0.05317465664,8
M23A 電腦及週邊,M23A,電腦及週邊,7,1577,0.2218939074,0.0983185003,2.25688865,0.1235754071,8
M28L 金融控股,M28L,金融控股,12,240,0.03376952301,0.1278515982,0.2641306286,-0.09408207523,8
M13A 石化,M13A,石化,2,185,0.02603067398,0.00988953881,2.632142356,0.01614113517,8
M23D 電子零組件,M23D,電子零組件,3,131,0.01843253131,0.02932706186,0.628516126,-0.01089453055,8
M23K 通信網路,M23K,通信網路,4,93,0.01308569016,0.0443845569,0.2948252969,-0.03129886673,8
M26A 海運,M26A,海運,3,91,0.01280427747,0.02142148513,0.5977306145,-0.00861720766,7
M23U 消費性電子,M23U,消費性電子,1,44,0.006191079218,0.006235094751,0.9929406793,-4.401553335e-05,8
M26D 空運,M26D,空運,1,36,0.005065428451,0.004677074355,1.083033552,0.0003883540962,7
M13C 輕油裂解,M13C,輕油裂解,1,30,0.004221190376,0.007466378165,0.5653598415,-0.003245187789,8
M12C 飲料乳品,M12C,飲料乳品,1,22,0.003095539609,0.009415716577,0.3287630403,-0.006320176968,7
M20A 基本金屬,M20A,基本金屬,1,11,0.001547769804,0.006822973612,0.2268468109,-0.005275203807,5
M11A 水泥製造,M11A,水泥製造,1,5,0.0007035317293,0.004750005632,0.1481117674,-0.004046473903,4
M28A 本國銀行,M28A,本國銀行,2,5,0.0007035317293,0.009101499679,0.07729844026,-0.00839796795,3
M22X 汽車買賣,M22X,汽車買賣,1,4,0.0005628253834,0.007285398105,0.07725389544,-0.006722572721,3
M29A 百貨批發,M29A,百貨批發,1,1,0.0001407063459,0.005680326379,0.02477082063,-0.005539620033,1
M23B 印刷電路板,M23B,印刷電路板,1,0,0,0.004592924912,0,-0.004592924912,0
M28K 租賃,M28K,租賃,1,0,0,0.004202729241,0,-0.004202729241,0
