industry,industry_code,industry_chinese_label,stock_count,total_news_count,pooled_sector_raw_hype,pooled_sector_market_cap_weight,pooled_sector_market_cap_adjusted_hype,pooled_sector_attention_size_imbalance
M13A 石化,M13A,石化,2,185,0.02603067398,0.00988953881,2.632142356,0.01614113517
M23A 電腦及週邊,M23A,電腦及週邊,7,1577,0.2218939074,0.0983185003,2.25688865,0.1235754071
M23G 半導體,M23G,半導體,7,4632,0.651751794,0.5985771374,1.088835095,0.05317465664
M26D 空運,M26D,空運,1,36,0.005065428451,0.004677074355,1.083033552,0.0003883540962
M23U 消費性電子,M23U,消費性電子,1,44,0.006191079218,0.006235094751,0.9929406793,-4.401553335e-05
M23D 電子零組件,M23D,電子零組件,3,131,0.01843253131,0.02932706186,0.628516126,-0.01089453055
M26A 海運,M26A,海運,3,91,0.01280427747,0.02142148513,0.5977306145,-0.00861720766
M13C 輕油裂解,M13C,輕油裂解,1,30,0.004221190376,0.007466378165,0.5653598415,-0.003245187789
M12C 飲料乳品,M12C,飲料乳品,1,22,0.003095539609,0.009415716577,0.3287630403,-0.006320176968
M23K 通信網路,M23K,通信網路,4,93,0.01308569016,0.0443845569,0.2948252969,-0.03129886673
